work,book_n,line_n,word_n,word,syllable_n,syllable,t_begin,t_end
Od.,9,437,1,ἦμος,1,ἦ,3.539302,3.866121
Od.,9,437,1,ἦμος,2,μος,3.866121,4.123347
Od.,9,437,2,δʼ,1,δʼ,4.358528,4.510836
Od.,9,437,3,ἠριγένεια,1,ἠ,4.614314,4.921169
Od.,9,437,3,ἠριγένεια,2,ρι,4.921169,5.124992
Od.,9,437,3,ἠριγένεια,3,γέν,5.124992,5.324269
Od.,9,437,3,ἠριγένεια,4,ει,5.324269,5.645382
Od.,9,437,3,ἠριγένεια,5,α,5.645382,5.785575
Od.,9,437,4,φάνη,1,φά,5.943990,6.042322
Od.,9,437,4,φάνη,2,νη,6.042322,6.544669
Od.,9,437,5,ῥοδοδάκτυλος,1,ῥο,6.786806,7.124554
Od.,9,437,5,ῥοδοδάκτυλος,2,δο,7.124554,7.355420
Od.,9,437,5,ῥοδοδάκτυλος,3,δάκ,7.436495,7.532689
Od.,9,437,5,ῥοδοδάκτυλος,4,τυ,7.746454,7.872108
Od.,9,437,5,ῥοδοδάκτυλος,5,λος,7.872108,8.244817
Od.,9,437,6,Ἠώς,1,Ἠ,8.411553,8.652478
Od.,9,437,6,Ἠώς,2,ώς,8.652478,9.013262
Od.,9,438,1,καὶ,1,καὶ,9.699077,10.186966
Od.,9,438,2,τότ’,1,τότ’,10.186966,10.571116
Od.,9,438,3,ἔπειτα,1,ἔ,10.656482,10.737580
Od.,9,438,3,ἔπειτα,2,πει,10.737580,11.023558
Od.,9,438,3,ἔπειτα,3,τα,11.023558,11.407708
Od.,9,438,4,νομόνδ’,1,νο,11.454659,11.599782
Od.,9,438,4,νομόνδ’,2,μόνδ’,11.599782,12.201617
Od.,9,438,5,ἐξέσσυτο,1,ἐξ,12.688206,13.197900
Od.,9,438,5,ἐξέσσυτο,2,έσσ,13.197900,13.569244
Od.,9,438,5,ἐξέσσυτο,3,υ,13.569244,13.744246
Od.,9,438,5,ἐξέσσυτο,4,το,13.744246,14.166810
Od.,9,438,6,ἄρσενα,1,ἄρ,14.507998,14.830257
Od.,9,438,6,ἄρσενα,2,σε,14.830257,15.086357
Od.,9,438,6,ἄρσενα,3,να,15.086357,15.312578
Od.,9,438,7,μῆλα,1,μῆ,15.312578,15.641239
Od.,9,438,7,μῆλα,2,λα,15.641239,15.927495
Od.,9,439,1,θήλειαι,1,θή,16.916980,17.412245
Od.,9,439,1,θήλειαι,2,λει,17.412245,17.775053
Od.,9,439,1,θήλειαι,3,αι,17.775053,18.242435
Od.,9,439,2,δὲ,1,δὲ,18.261642,18.389692
Od.,9,439,3,μέμηκον,1,μέ,18.389692,18.577498
Od.,9,439,3,μέμηκον,2,μη,18.577498,18.897623
Od.,9,439,3,μέμηκον,3,κον,18.897623,19.309516
Od.,9,439,4,ἀνήμελκτοι,1,ἀ,19.919378,20.032488
Od.,9,439,4,ἀνήμελκτοι,2,νή,20.032488,20.506273
Od.,9,439,4,ἀνήμελκτοι,3,μελκ,20.506273,21.041948
Od.,9,439,4,ἀνήμελκτοι,4,τοι,21.041948,21.515732
Od.,9,439,5,περὶ,1,πε,21.700231,21.816322
Od.,9,439,5,περὶ,2,ρὶ,21.816322,21.995436
Od.,9,439,6,σηκούς,1,ση,21.995436,22.310542
